year,sex,name,count,rank
1996,M,Ryan,932,1
1996,M,Andrew,772,2
1996,M,Liam,701,3
1996,M,Jack,675,4
1996,M,Connor,663,5
1996,M,Scott,660,6
1996,M,James,654,7
1996,M,Daniel,647,8
1996,M,Ross,640,9
1996,M,Jordan,603,10
1996,M,Michael,554,11
1996,M,David,542,12
1996,M,Cameron,499,13
1996,M,Craig,492,14
1996,M,Kieran,492,14
1996,M,Lewis,473,16
1996,M,Christopher,461,17
1996,M,John,450,18
1996,M,Callum,447,19
1996,M,Jamie,430,20
1996,M,Sean,425,21
1996,M,Matthew,421,22
1996,M,Kyle,388,23
1996,M,Calum,372,24
1996,M,Mark,361,25
1996,M,Dylan,338,26
1996,M,Robert,332,27
1996,M,Thomas,331,28
1996,M,Adam,308,29
1996,M,Alexander,292,30
1996,M,Steven,288,31
1996,M,Darren,262,32
1996,M,Paul,252,33
1996,M,William,246,34
1996,M,Stuart,245,35
1996,M,Lee,240,36
1996,M,Fraser,237,37
1996,M,Stephen,218,38
1996,M,Declan,205,39
1996,M,Aaron,204,40
1996,M,Dean,202,41
1996,M,Shaun,200,42
1996,M,Aidan,173,43
1996,M,Conor,171,44
1996,M,Grant,170,45
1996,M,Euan,166,46
1996,M,Joshua,165,47
1996,M,Gary,157,48
1996,M,Jonathan,157,48
1996,M,Ben,156,50
1996,M,Joseph,156,50
1996,M,Nathan,145,52
1996,M,Martin,144,53
1996,M,Sam,137,54
1996,M,Gavin,134,55
1996,M,Peter,133,56
1996,M,Blair,130,57
1996,M,Robbie,130,57
1996,M,Marc,128,59
1996,M,Samuel,128,59
1996,M,Greg,127,61
1996,M,Reece,127,61
1996,M,Rory,125,63
1996,M,Jason,124,64
1996,M,Josh,121,65
1996,M,Alan,117,66
1996,M,Alistair,114,67
1996,M,Jake,114,67
1996,M,Luke,110,69
1996,M,Kevin,107,70
1996,M,Ewan,104,71
1996,M,Benjamin,99,72
1996,M,Harry,94,73
1996,M,Patrick,93,74
1996,M,Anthony,90,75
1996,M,Dale,90,75
1996,M,Gregor,89,77
1996,M,Colin,87,78
1996,M,Iain,86,79
1996,M,Ian,85,80
1996,M,George,82,81
1996,M,Nicholas,82,81
1996,M,Stewart,82,81
1996,M,Duncan,80,84
1996,M,Brandon,79,85
1996,M,Ciaran,75,86
1996,M,Hamish,74,87
1996,M,Brian,72,88
1996,M,Rhys,72,88
